"DOTP Prices","ATBC Prices"
"1.145177826087","  1.29186 "
"1.0132379994251","  1.29186 "
"1.0716612239103","  1.22501 "
"1.0855408695652","  1.22501 "
"0.95993191361728","  1.73697 "
"1.1400965","  1.64987 "
"1.0931558423142","  1.39296 "
"1.0855160992908","  1.24091 "
"1.1583303964758","  2.02347 "
"1.1327504262575","  1.44266 "
"20.04","  2.10982 "
"1.488766109352","  2.35367 "
"1.964382173913","  2.36693 "
"1.4916708567008","  2.48945 "
"1.4918350652489","  2.48945 "
"1.5333946875","  2.48945 "
"1.9399631147541","  2.44671 "
"1.4295827338129","  2.71496 "
"1.1330777361064","  2.72661 "
"1.4919209890853","  2.03762 "
"1.1704525","  2.03762 "
"1.964452173913","  2.03762 "
"1.0824332978723","  2.27395 "
"1.4922021235521","  1.90815 "
"1.1547457446809","  1.81643 "
"1.1154517733911","  2.00880 "
"1.1007042494859","  2.00880 "
"0.93951714787047","  1.26928 "
"1.0924938972467","  2.30072 "
"1.0924445234708","  1.97172 "
"1.1547461702128","  1.96587 "
"1.1041624778951","  1.99628 "
"1.1327225531915","  1.59914 "
"1.1325059594756","  1.98296 "
"1.0827455319149","  1.98295 "
"1.574966875","  2.00699 "
"0.9943083","  2.00699 "
"1.0346695","  2.30349 "
"1.1174147222222","  1.40695 "
"1.009467","  1.39725 "
"1.009467","  1.78675 "
"1.009376","  2.80000 "
"1.009376","  1.63946 "
"1.0549877083333","  1.34980 "
"1.0096845","  1.21256 "
"1.17591625","  1.21256 "
"1.0133036169129","  1.28696 "
"1.0137051087506","  1.28696 "
"1.010032","  1.28696 "
"1.156226","  1.28712 "
"1.14163","  1.26380 "
"1.0127494949495","  1.28309 "
"1.0456093","  1.38093 "
"1.1564405","  1.38665 "
"1.1564405","  1.30159 "
"1.0839178125","  1.35288 "
"1.156641","  1.35288 "
"1.0647885","  1.51857 "
"1.1149125","  1.20801 "
"1.1149125","  1.20737 "
"0.99523613716154","  1.45194 "
"0.995119878677","  1.34556 "
"1.13404","  1.42134 "
"1.0276943181818","  1.23895 "
"1.0644678723404","  1.17868 "
"1.0708083333333","  1.29565 "
"1.10442375","  1.29565 "
"1.087789106383","  1.37203 "
"0.971121","  1.65068 "
"1.2636030092593","  1.30165 "
"1.0322630434783","  1.30165 "
"1.0626469444444","  1.38242 "
"1.1464229787234","  1.97182 "
"1.1321396875","  1.23018 "
"1.0315624178712","  1.28673 "
"1.0480468518519","  1.67221 "
"1.0857218940052","  1.52350 "
"1.0184900788907","  1.36252 "
"1.1534146017699","  1.21618 "
"0.971367","  1.20731 "
"1.0116717225389","  1.37928 "
"0.9611753384913","  1.20539 "
"1.06596325","  1.19197 "
"1.1537812765957","  1.28886 "
"0.98971936170213","  2.10460 "
"0.9082927806563","  1.30173 "
"0.96198601870601","  1.34702 "
"1.0252333076775","  1.34702 "
"0.98959776595745","  1.18952 "
"1.060401625","  1.40344 "
"1.0938216432866","  1.28913 "
"1.1044233333333","  1.74865 "
"1.97054417383","  1.17344 "
"1.9705238095238","  1.32118 "
"1.8634775784753","  1.44525 "
"1.1999999676972","  1.29200 "
"2.0317381783683","  1.33814 "
"1.8710431157694","  1.25347 "
"1.2051064894864","  1.25347 "
"1.2050374826189","  1.28820 "
"1.2011972123707","  1.23949 "
"1.1812069357799","  1.18736 "
"1.1812082540006","  1.29217 "
"1.1812080123319","  1.36202 "
"1.1811989884997","  1.22662 "
"1.1811933696884","  1.46389 "
"1.3259911894273","  1.26431 "
"1.1813017284059","  1.18690 "
"1.181215716174","  1.22662 "
"1.1850410416791","  1.21975 "
"1.1812128299702","  1.21975 "
"1.1850200198768","  1.27175 "
"1.1512035410669","  1.76364 "
"1.1512051776933","  1.25824 "
"19.532675742574","  1.27986 "
"1.155034264761","  1.34501 "
"1.1550286163429","  1.34501 "
"1.1549961274204","  2.10358 "
"1.1550278065964","  1.27049 "
"1.1512122697736","  1.28606 "
"1.1512095303567","  1.22907 "
"1.1512025958019","  1.22907 "
"1.2739105613701","  1.22907 "
"1.1512101284864","  3.85761 "
"1.6710605648365","  1.34422 "
