"Date","Consignatario","Expedidor","Origen del envío","Destino del envío","Código HS","Mercancías enviadas","Goods Shipped","Gross Weight (kg)","Gross Weight (t)","Valor de las mercancías (USD)"
"2021-01-31","Upl Do Brasil Industria & Comercio De Insumos Agropecuarios Sa","Volcano Agroscience (Pty) ) Ltd.","DURBAN","SANTOS","38080000","2 X 40 CONTAINERS CONTAINING 4200 BAGS OF PESTICIDE, SOLI:D, TOXIC, N.O.S. PESTICIDE, SOLID, N.O.S. ( PESTICIDE, SOLID, N.O.S. TEBUTHIURON","","44767","44.77","839000"
"2021-01-31","Upl Do Brasil Industria & Comercio De Insumos Agropecuarios Sa","Volcano Agroscience (Pty) ) Ltd.","DURBAN","SANTOS","38080000","10 X 40 CONTAINERS CONTAINING 10400 DRUMS OF ARTYS","","250399.99","250.4","4695000"
"2021-01-31","Fmc Quimica Do Brasil Ltda","Shanghai Phoenix International Logistics Co., Ltd.","SHANGHAI","SANTOS","29349939","1 X 20 CONTAINERS CONTAINING 68 DRUMS OF CLOMAZONE TECHNICAL HERBICIDE ENVIRONMENTALLY HAZARDOUS SUBSTANCE,LIQUID CLOMAZONE TECHNICAL HERBICIDE","","16911","16.91","12805000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF DOWLEX GM 8051 BG","","110160","110.16","7656000"
"2021-01-31","Syngenta Protecao De Cultivos Ltda","Shanghai Freemen","SHANGHAI","SANTOS","29359099","2 X 20 CONTAINERS CONTAINING 2 TANK OF FOMESAFEN 48% AQUEOUS SOLUTION","","38800","38.8","1081000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF DOWLEX NG2049B BG","","110160","110.16","7656000"
"2021-01-31","Dow Brasil Sudeste Industrial Ltda","Yale Sea & Air Co., Ltd.","PUSAN (BUSAN)","SANTOS","39239000","1 X 40 CONTAINERS CONTAINING 20 PACKAGES OF BAG ALUMINUM SLNT DRUM, EA","","5280","5.28",""
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","1 X 40 CONTAINERS CONTAINING 1080 BAGS OF DOWLEX GM 8480G BG","","27540","27.54","1914000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF HDPE NG 7000 H BG","","110160","110.16","7656000"
"2021-01-31","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF DOWLEX GM 8051 BG","","110160","110.16","7656000"
