"Date","Consignatario","Expedidor","Origen del envío","Destino del envío","Código HS","Mercancías enviadas","Goods Shipped","Gross Weight (kg)","Gross Weight (t)","Valor de las mercancías (USD)"
"2021-01-12","Upl Do Brasil Industria & Comercio De Insumos Agropecuarios Sa","United Phosphorus Ltd.","NHAVA SHEVA (JAWAHARLAL N","SANTOS","38089191","3 X 40 CONTAINERS CONTAINING 2880 BOXES OF PERITO 970 SG: INGREDIENTE ATIVO: ACEFATO","","67500","67.5","918000"
"2021-01-12","Syngenta Protecao De Cultivos Ltda","Syngenta","ANTWERPEN","SANTOS","29349939","1 X 40 CONTAINERS CONTAINING 40 PALLET OF SCORE TECNICO DIFENOCONAZOLE","","20633","20.63","848000"
"2021-01-12","Upl Do Brasil Industria & Comercio De Insumos Agropecuarios Sa","Upl Ltd.","NHAVA SHEVA (JAWAHARLAL N","SANTOS","38089293","1 X 40 CONTAINERS CONTAINING 1600 BAGS OF UNIZEB GOLD INGREDIENTE AT:IVO: MANCOZEB (MAN COZEBE)","","25320","25.32","69700"
"2021-01-11","Sumidenso Do Brasil Industrias Eletricas Ltda","Sumitomo Corporation","NAGOYA","SANTOS","39021000","1 X 40 CONTAINERS CONTAINING 8 BOXES OF  RAW MATERIAL BC03GS, NATURAL PP C606W-B PP IH105","","2618","2.62","5700"
"2021-01-11","Sumidenso Do Brasil Industrias Eletricas Ltda","Sumitomo Corporation","NAGOYA","SANTOS","00330000","1 X 40 CONTAINERS CONTAINING 1 PALLET OF  ELECTRIC PARTS FOR AUTOMOBILE","","93","0.09",""
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 BAGS OF   HDPE 35057L","","88560","88.56","6155000"
"2021-01-11","Sumidenso Do Brasil Industrias Eletricas Ltda","Sumitomo Corporation","NAGOYA","SANTOS","00330000","1 X 40 CONTAINERS CONTAINING 26 PALLET OF  ELECTRIC PARTS FOR AUTOMOBILE","","3572","3.57",""
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    DOWLEX TG 2085B","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF    LDPE 203M","","110160","110.16","7656000"
"2021-01-11","Syngenta Protecao De Cultivos Ltda","Syngenta Group","HOUSTON (TX)","SANTOS","38089100","8 X 20 CONTAINERS CONTAINING 48 PALLET OF PESTICIDE, LIQUID, TOXIC N.O.S. ABAMECTIN AIRCRAFT ONLY AVICTA","","45184","45.18","1330000"
"2021-01-11","Polyexcel Ind E Comercio De Compostos Polimericos Ltda","Dow Group","NEW ORLEANS (LA)","SANTOS","39010000","1 X 40 CONTAINERS CONTAINING 990 BAGS OF ENGAGE(TM) 8100 POLYOLEFIN ELASTOMER 20","","20295","20.3","21900"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    DOWLEX TG 2085B","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF   ELITE NG 5401B","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF   HDPE 35057L","","110160","110.16","7656000"
"2021-01-11","Syngenta Protecao De Cultivos Ltda","Bulkhaul","NEW ORLEANS (LA)","SANTOS","38089323","8 X 40 CONTAINERS CONTAINING 320 PALLET OF ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S. ATRAZINE GESAPRIM GRDA","","156184.01","156.18","1231000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    DOWLEX TG 2085B","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF   LDPE 203M","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Dow Group","HOUSTON (TX)","NAVEGANTES","39010000","2 X 40 CONTAINERS CONTAINING 1980 BAGS OF POLYETHYLENE 08454N HIGH DENSITY BAG 55 BAGS,PALLET","","50242","50.24","54200"
"2021-01-11","A Schulman Plasticos Do Brasil Ltda","Dow Group","HOUSTON (TX)","SANTOS","39010000","1 X 40 CONTAINERS CONTAINING 32 BINS OF DOW TM DPDA-3170 NT MEDIUM DENSITY POLYETHYLENE RESIN","","21763","21.76","23500"
"2021-01-11","Dow Brasil Sudeste Industrial Ltda","Bertschi Global Ag","NEW ORLEANS (LA)","SANTOS","29090000","2 X 20 CONTAINERS CONTAINING 2 TANK OF DOWANOL TM PM GLYCOL ETHER STD BULK 1-METHOXY-2-PROPANOL F-E, S-D, STOWAGE CATEGORYA","","39843","39.84","25600"
"2021-01-11","Syngenta Protecao De Cultivos Ltda","Thai Harvest Ltd.","SHANGHAI","SANTOS","29269095","8 X 40 CONTAINERS CONTAINING 256 CASE OF ORGANOCHLORINE PESTICIDE,SOLID,TOXIC CHLOROTHALONIL","","175098.01","175.1","1004000"
"2021-01-11","Valfilm Mg Industria De Embalagens Ltda","Dow Group","HOUSTON (TX)","RIO DE JANEIRO","39010000","1 X 40 & 3 X 40 CONTAINERS CONTAINING 3960 BAGS OF AGILITY(TM) 1200 PERFORMANCE LDPE","","100485","100.49","108000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    HDPE NG 7000 H","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Sudeste Industrial Ltda","Dow Group","HOUSTON (TX)","SANTOS","34020000","1 X 20 CONTAINERS CONTAINING 78 DRUMS OF TERGITOL TM 15-S-9 SURFACTANT STEEL DRUM","","17242","17.24","45300"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    DOWLEX TG 2085B","","110160","110.16","7656000"
"2021-01-11","Karina Industria E Comercio De Plasticos Ltda","Dow Group","NEW ORLEANS (LA)","SANTOS","39010000","1 X 40 CONTAINERS CONTAINING 640 BAGS OF NORDEL(TM) IP 3722P HYDROCARBON RUBBER","","16416","16.42","17700"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    DOWLEX TG 2085B","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF   ELITE NG 5401B","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF   DOWLEX NG2045B","","110160","110.16","7656000"
"2021-01-11","Syngenta Protecao De Cultivos Ltda","Bulkhaul","NEW ORLEANS (LA)","SANTOS","38089323","3 X 40 CONTAINERS CONTAINING 120 PALLET OF ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S. ATRAZINE MARINE POLLUTANT GESAPRIM GRDA","","58569","58.57","462000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    DOWLEX TG 2085B","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Industria E Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","5 X 40 CONTAINERS CONTAINING 5 OF    HDPE 35060L BLK","","121800","121.8","8465000"
"2021-01-11","Dow Brasil Industria E Comercio De Produtos Quimicos Lt","Dow Group","HOUSTON (TX)","NAVEGANTES","39010000","1 X 40 CONTAINERS CONTAINING 900 BAGS OF RETAIN(TM) 3000 RECYCLE COMPATIBILIZER","","22995","23","24800"
"2021-01-11","Dow Brasil Industria E Comercio De Prod Quimicos Ltda","Dow Group","MEXICO CITY (D F )","RIO DE JANEIRO","39010000","4 X 40 CONTAINERS CONTAINING 3400 BAGS OF DOWLEX* 2027G POLYETHYLENE RESIN","","87219","87.22","94900"
"2021-01-11","Dow Brasil Industria E Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","5 X 40 CONTAINERS CONTAINING 5 OF    HDPE 35060L BLK","","125540","125.54","8725000"
"2021-01-11","Dow Agrosciences Industrial Ltda","Intermodal Tank Transport","HOUSTON (TX)","SANTOS","34020000","1 X 20 CONTAINERS CONTAINING 1 TANK OF DANGEROUS LIQUIDS POLYGLYCOL 26-2 ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S. ALKYLPHENOL ALKOXYLATE","","19885","19.89","52300"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Dow Group","HOUSTON (TX)","NAVEGANTES","39010000","4 X 40 CONTAINERS CONTAINING 3960 BAGS OF  ELITE(TM) 5401G ENHANCED POLYETHYLENE RESIN","","100485","100.49","108000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Dow Group","HOUSTON (TX)","NAVEGANTES","39010000","1 X 40 & 3 X 40 CONTAINERS CONTAINING 3960 BAGS OF  ENHANCED POLYETHYLENE RESIN","","100485","100.49","108000"
"2021-01-11","Syngenta Protecao De Cultivos Ltda","Syngenta","SHANGHAI","SANTOS","29331990","3 X 20 CONTAINERS CONTAINING 30 CASE OF PESTICIDE, SOLID, TOXIC, BENZOVINDIFLUPYR","","15109","15.11","847000"
"2021-01-11","Soft Film Industria E Comercio De Plasticos Ltda","Dow Group","HOUSTON (TX)","SANTOS","39010000","4 X 40 & 1 X 40 CONTAINERS CONTAINING 4950 BAGS OF DOWLEX TM GM POLYETHYLENE RESIN","","125606","125.61","136000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF       LDPE 220M BG6025","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Sudeste Industrial Ltda","Intermodal Tank Transport","HOUSTON (TX)","SANTOS","29090000","1 X 20 CONTAINERS CONTAINING 1 TANK OF DOWANOL TM PNB GLYCOL ETHER BULK NA1993 COMBUSTIBLE LIQUID, N.O.S. PROPYLENE GLYCOL MONOBUTYL ETHER COMB LIQ, III IMDG","","19930","19.93","12800"
"2021-01-11","Valfilm Mg Industria De Embalagens Ltda","Dow Group","NEW ORLEANS (LA)","RIO DE JANEIRO","39010000","3 X 40 CONTAINERS CONTAINING 2970 BAGS OF ATTANE TM 4203 ULTRA LOW DENSITY ETHYLENE,OCTENE COPOLYMER","","75363","75.36","81300"
"2021-01-11","Amino Quimica Ltda","Dow Group","HOUSTON (TX)","NAVEGANTES","39090000","1 X 40 CONTAINERS CONTAINING 76 DRUMS OF ISONATE(TM) 181 MDI PREPOLYMER","","18614","18.61","44600"
"2021-01-11","Valfilm Mg Industria De Embalagens Ltda","Dow Group","NEW ORLEANS (LA)","RIO DE JANEIRO","39010000","1 X 40 CONTAINERS CONTAINING 990 BAGS OF ATTANE(TM) 4203 ULTRA LOW DENSITY ETHYLENE,OCTENE COPOLYMER","","25121","25.12","27100"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    MDPE NG6995","","110160","110.16","7656000"
"2021-01-11","Sumitomo Rubber Do Brasil Ltda","Sumitomo Corporation","YOKOHAMA","PARANAGUA","40112090","1 X 40 CONTAINERS CONTAINING 220 UNIT OF TRUCK TIRES","","12216","12.22",""
"2021-01-11","Dow Brasil Sudeste Industrial Ltda","Dow Group","HOUSTON (TX)","SANTOS","34020000","1 X 20 CONTAINERS CONTAINING 78 DRUMS OF TERGITOL TM 15-S-9 SURFACTANT STEEL DRUM","","17242","17.24","45300"
"2021-01-11","Dow Brasil Industria E Comercio De Prod Quimicos Ltda","Dow Group","HOUSTON (TX)","RIO DE JANEIRO","39010000","2 X 40 CONTAINERS CONTAINING 1980 BAGS OF ELITE(TM) 5400 G ENHANCED POLYETHYLENE RESIN","","50242","50.24","54200"
"2021-01-11","Soft Film Industria E Comercio De Plasticos Ltda","Dow Group","HOUSTON (TX)","SANTOS","39010000","2 X 40 & 2 X 40 CONTAINERS CONTAINING 3960 BAGS OF DOWLEX TM GM POLYETHYLENE RESIN","","100485","100.49","108000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","3 X 40 CONTAINERS CONTAINING 3240 BAGS OF    DOWLEX NG2038 BG6025","","82620","82.62","5742000"
"2021-01-11","Dow Brasil Industria E Comercio De Prod Quimicos Ltda","Dow Group","VERACRUZ","RIO DE JANEIRO","39010000","4 X 40 CONTAINERS CONTAINING 3400 BAGS OF DOWLEX* TG2085B POLYETHYLENE RESI ETHYLENE POLYMERS","","86770","86.77","94400"
"2021-01-11","Sumitomo Rubber Do Brasil Ltda","Sumitomo Corporation","HAKATA","PARANAGUA","40111000","1 X 40 CONTAINERS CONTAINING 200 UNIT OF PASS TIRES","","3420","3.42",""
"2021-01-11","Dow Brasil Industria E Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","5 X 40 CONTAINERS CONTAINING 5 OF    HDPE 35060L BLK","","122680","122.68","8526000"
"2021-01-11","Dow Brasil Industria E Comercio De Prod Quimicos Ltda","Dow Group","HOUSTON (TX)","RIO DE JANEIRO","39010000","1 X 40 & 3 X 40 CONTAINERS CONTAINING 3960 BAGS OF ELITE(TM) 5230 G ENHANCED POLYETHYLENE RESIN","","100485","100.49","108000"
"2021-01-11","Dow Brasil Industria E Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","5 X 40 CONTAINERS CONTAINING 5 OF    HDPE 35060L BLK","","123680","123.68","8596000"
"2021-01-11","Valfilm Mg Industria De Embalagens Ltda","Dow Group","HOUSTON (TX)","RIO DE JANEIRO","39010000","2 X 40 & 2 X 40 CONTAINERS CONTAINING 3960 BAGS OF POLYETHYLENE 586A LOW DENSITY","","100485","100.49","108000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF     HDPE NG 7000 H","","110160","110.16","7656000"
"2021-01-11","Sumitomo Rubber Do Brasil Ltda","Sumitomo Corporation","HAKATA","PARANAGUA","40112090","1 X 40 CONTAINERS CONTAINING 140 UNIT OF TRUCK TIRES","","10811","10.81",""
"2021-01-11","Dow Brasil Industria E Comercio De Prod Quimicos Ltda","Dow Group","HOUSTON (TX)","RIO DE JANEIRO","39010000","1 X 40 & 3 X 40 CONTAINERS CONTAINING 3960 BAGS OF DOW TM) DPDA-3152 NT 7 MEDIUM DENSITY POLYETHYLENE RESIN","","100485","100.49","108000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    DOWLEX NG2045B BG6025","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    DOWLEX IP-20","","110160","110.16","7656000"
"2021-01-11","Polyexcel Ind E Comercio De Compostos Polimericos Ltda","Dow Group","HOUSTON (TX)","SANTOS","39010000","1 X 40 CONTAINERS CONTAINING 34 BINS OF ENGAGE(TM) 8450 POLYOLEFIN ELASTOMER OCTAGON BOX","","21572","21.57","23300"
"2021-01-11","Sumidenso Do Brasil Industrias Eletricas Ltda","Sumitomo Corporation","NAGOYA","SANTOS","00330000","1 X 40 CONTAINERS CONTAINING 31 PALLET OF  ELECTRIC PARTS FOR AUTOMOBILE","","4519","4.52",""
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF   DOWLEX NG2045B","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    DOWLEX TG 2085B","","110160","110.16","7656000"
"2021-01-11","Syngenta Protecao De Cultivos Ltda","Bulkhaul","NEW ORLEANS (LA)","SANTOS","38086990","4 X 20 CONTAINERS CONTAINING 4 TANK OF ENVIRONMENTALLY HAZARDOUS SUBSTANCE LIQUID NOS THIAMETHOXAM, LAMBDA CYHALOTHRIN F-A, ENGEO PLENO S 18214 L BRA PRODUCT","","79878","79.88","1155000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    DOWLEX TG 2085B","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Industria E Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","5 X 40 CONTAINERS CONTAINING 5 OF    HDPE 35060L BLK","","123760","123.76","8601000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF   DOWLEX NG2045B","","110160","110.16","7656000"
"2021-01-11","Syngenta Protecao De Cultivos Ltda","Syngenta Group","NEW ORLEANS (LA)","SANTOS","38089329","4 X 20 CONTAINERS CONTAINING 24 PALLET OF ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S. TRIFLOXYSULFURON-SODIUM F-A, S-F, ERG 171 ENVOKE G BR PRODUCT","","4704","4.7","37100"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Dow Group","HOUSTON (TX)","NAVEGANTES","39010000","2 X 40 & 2 X 40 CONTAINERS CONTAINING 3960 BAGS OF ELITE(TM) 5401 G ENHANCED POLYETHYLENE RESIN","","100485","100.49","108000"
"2021-01-11","Sumitomo Rubber Do Brasil Ltda","Sumitomo Corporation","KOBE","PARANAGUA","39094099","1 X 20 CONTAINERS CONTAINING 5 PALLET OF SUMIKANOL 620 TAOKA SUMIKANOL 507AP BARA","","2100","2.1","14100"
"2021-01-11","Dow Brasil Sudeste Industrial Ltda","Dow Group","HOUSTON (TX)","SANTOS","34020000","1 X 20 CONTAINERS CONTAINING 78 DRUMS OF TERGITOL TM 15-S-9 SURFACTANT STEEL DRUM","","17242","17.24","45300"
"2021-01-11","Dow Brasil Industria E Comercio De Prod Quimicos Ltda","Dow Group","HOUSTON (TX)","RIO DE JANEIRO","39010000","1 X 40 & 3 X 40 CONTAINERS CONTAINING 3960 BAGS OF AGILITY(TM) 2001 PERFORMANCE LDPE","","100485","100.49","108000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF   ELITE NG 5400B","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    DOWLEX TG 2085B","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    MDPE NG","","110160","110.16","7656000"
"2021-01-11","Auriquimica Ltda","Dow Group","NEW ORLEANS (LA)","SANTOS","40020000","1 X 40 CONTAINERS CONTAINING 640 BAGS OF EPDM 764P","","16416","16.42","33800"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 4320 BAGS OF    DOWLEX NG2038B BG6025","","110160","110.16","7656000"
"2021-01-11","Henkel Ltda","Dow Group","HOUSTON (TX)","SANTOS","39010000","1 X 40 CONTAINERS CONTAINING 990 BAGS OF AFFINITY TM GA POLYOLEFIN PLASTOMER","","20334","20.33","21900"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","2 X 40 CONTAINERS CONTAINING 36 PALLET OF    HDPE LP 8000","","55080","55.08","3828000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Dow Group","HOUSTON (TX)","NAVEGANTES","39010000","3 X 40 & 1 X 40 CONTAINERS CONTAINING 3960 BAGS OF  DOWLEX(TM)GM 8051F POLYETHYLENE RESIN","","100485","100.49","108000"
"2021-01-11","Dow Brasil Sudeste Industrial Ltda","M & S United Transportation Inc.","HOUSTON (TX)","SANTOS","39070000","1 X 20 CONTAINERS CONTAINING 1 TANK OF     VORALUX(TM) HL 431 POLYOL BULK UNITED STATES IMDG","","21899","21.9","58100"
"2021-01-11","Dow Brasil Sudeste Industrial Ltda","Intermodal Tank Transport","HOUSTON (TX)","SANTOS","29090000","1 X 20 CONTAINERS CONTAINING 1 TANK OF DOWANOL TM PNB GLYCOL ETHER BULK NA1993 COMBUSTIBLE LIQUID, N.O.S. PROPYLENE GLYCOL MONOBUTYL ETHER COMB LIQ, III IMDG","","19440","19.44","12500"
"2021-01-11","Borealis Brasil Sa","Dow Group","NEW ORLEANS (LA)","SANTOS","39010000","1 X 40 CONTAINERS CONTAINING 990 BAGS OF ENGAGE 8407 POLYOLEFIN ELASTOMER","","20295","20.3","21900"
"2021-01-11","Dow Brasil Industria E Comercio De Produtos Quimicos Lt","Dow Group","HOUSTON (TX)","NAVEGANTES","39010000","1 X 40 CONTAINERS CONTAINING 900 BAGS OF  BYNEL(TM) 46E1052 ADHESIVE RESIN","","22995","23","24800"
"2021-01-11","Bandeirante Quimica Ltda","Dow Group","HOUSTON (TX)","SANTOS","39070000","38 DRUMS OF CARBOWAX(TM) POLYETHYLENE GLYCOL","","9515","9.52","25200"
"2021-01-11","Syngenta Protecao De Cultivos Ltda","Shanghai Freemen","DALIAN","SANTOS","29309079","2 X 40 CONTAINERS CONTAINING 320 DRUMS OF ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID N.O.S. MESOTRIONE TECHNICAL","","35200","35.2","297000"
"2021-01-11","Sumitomo Rubber Do Brasil Ltda","Sumitomo Corporation","HAKATA","PARANAGUA","40112090","3 X 40 CONTAINERS CONTAINING 639 UNIT OF TRUCK TIRES","","39195","39.19",""
"2021-01-11","Soft Film Industria E Comercio De Plasticos Ltda","Dow Group","HOUSTON (TX)","SANTOS","39010000","3 X 40 & 2 X 40 CONTAINERS CONTAINING 4950 BAGS OF DOWLEX TM GM POLYETHYLENE RESIN","","125606","125.61","136000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","3 X 40 CONTAINERS CONTAINING 3240 BAGS OF   DOWLEX NG2038.11B BG6025","","82620","82.62","5742000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    MDPE NG 7525","","110160","110.16","7656000"
"2021-01-11","Syngenta Protecao De Cultivos Ltda","Syngenta Group","NEW ORLEANS (LA)","SANTOS","38080000","8 X 40 CONTAINERS CONTAINING 14400 BAGS OF ENVIRONMENTALLY HAZARDOUS SUB STANCE, SOLID ATRAZINE","","156184.01","156.18","1456000"
"2021-01-11","Sumitomo Rubber Do Brasil Ltda","Pt Indo Kordsa Polyester","JAKARTA  JAVA","PARANAGUA","59022000","1 X 40 CONTAINERS CONTAINING 16 ROLLS OF POLYESTER TIRE CORD FABRIC PB-50B (9032C)","","14484","14.48","45000"
"2021-01-11","Dow Brasil Industria E Comercio De Prod Quimicos Ltda","Dow Group","HOUSTON (TX)","RIO DE JANEIRO","39010000","1 X 40 & 3 X 40 CONTAINERS CONTAINING 3960 BAGS OF AGILITY TM PERFORMANCE LDPE","","100485","100.49","108000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    DOWLEX TG","","110160","110.16","7656000"
"2021-01-11","Dow Brasil Sudeste Industrial Ltda","Dow Group","HOUSTON (TX)","SANTOS","29090000","1 X 20 CONTAINERS CONTAINING 78 DRUMS OF DOWANOL TM PNB GLYCOL ETHER STEEL DRUM","","15359","15.36","9900"
"2021-01-11","Dow Brasil Industria E Comercio De Prod Quimicos Ltda","Dow Group","HOUSTON (TX)","RIO DE JANEIRO","39010000","2 X 40 CONTAINERS CONTAINING 1980 BAGS OF DOW TM DPDA-3135 NT 7 MEDIUM DENSITY POLYETHYLENE RESIN","","50242","50.24","54200"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    DOWLEX NG2045B BG6025","","110160","110.16","7656000"
"2021-01-11","Bandeirante Quimica Ltda","Dow Group","HOUSTON (TX)","SANTOS","38240000","1 X 20 CONTAINERS CONTAINING 40 DRUMS OF CARBOWAX POLYETHYLENE GLYCOL 200","","10026","10.03",""
"2021-01-11","Sumitomo Chemical Do Brasil Representacoes Limitada","Sumitomo Corporation","KOBE","SANTOS","29304090","5 X 20 CONTAINERS CONTAINING 100 PALLET OF  DL-METHIONINE 99% FEED GRADE","","102170","102.17","215000"
"2021-01-11","Dow Brasil Industria & Comercio De Produtos Quimicos Lt","Pbb Polisur Srl","BUENOS AIRES","ITAJAI","39010000","4 X 40 CONTAINERS CONTAINING 72 PALLET OF    DOWLEX TG 2085B","","110160","110.16","7656000"
"2021-01-11","Sumitomo Chemical Do Brasil Representacoes Limitada","Sumitomo Corporation","KOBE","SANTOS","29251990","1 X 20 & 1 X 40 CONTAINERS CONTAINING 60 PALLET OF  SUMILEX TECNICO PROCIMIDONE","","29520","29.52","819000"
